"Think of your relationships as a solar system. You are the equivalent of the sun in the middle with the planets (your key relationships) surrounding you. Some planets are close and warm and others are farther away and colder. In the same way you have warmer relationships with some people in your life – it’s easier to discuss important matters, share feelings, make requests, be yourself etc. – while with others the hostile, discussion feels more difficult, risky or not authentic.","Hãy nghĩ đến các mối quan hệ của bạn như là hệ mặt trời. Bạn được xem tương đương với mặt trời ở trung tâm và bao quanh bởi các hành tinh (các mối quan hệ chính của bạn). Một số hành tinh ấm áp và gần gũi, trong khi các hành tinh khác xa xôi và lạnh lẽo hơn. Tương tự như vậy, bạn có các mối quan hệ thân tình hơn với một số người trong cuộc sống khiến bạn dễ dàng thảo luận về các vấn đề quan trọng, chia sẻ cảm xúc, đưa ra yêu cầu, được là chính mình v.v. trong khi với những người khác, bạn cảm thấy mối quan hệ không thân thiện, cảm thấy khó khăn hơn khi bàn bạc việc gì đó, có nhiều rủi ro và không chân thật."
"Think carefully about the key relationships in your life (partner, parent, Manager, child, friend, colleague, supplier, Customer etc.) and then map them out, please plot at least four personal and four work relationships, based on how easy or difficult relationship or have a difficult conversation with them.","Suy nghĩ kỹ về các mối quan hệ chính trong cuộc sống của bạn (bạn đời, cha mẹ, Quản lý, con cái, bạn bè, đồng nghiệp, nhà cung cấp, Khách hàng v.v.) rồi vẽ sơ đồ các mối quan hệ này. Vui lòng vẽ ít nhất bốn mối quan hệ cá nhân và bốn mối quan hệ công việc dựa trên mức độ dễ hoặc khó hay dựa trên việc khó nói chuyện với họ."
"Place working relationships on the left and personal relationships on the right. Remember to place the people you struggle to conversations further away from you.","Đặt các mối quan hệ công việc ở bên trái còn các mối quan hệ cá nhân ở bên phải. Hãy nhớ đặt những người mà bạn cảm thấy khó nói chuyện với họ ở xa bạn hơn."
"PRE-WORK - RELATIONSHIP MAPPING","CHUẨN BỊ - LẬP SƠ ĐỒ MỐI QUAN HỆ"
"Once you have put your key relationships on the map, consider the following questions in connection with those people who are farthest away from you.","Khi bạn đã vẽ xong các mối quan hệ chính trên sơ đồ, hãy cân nhắc các câu hỏi sau liên quan đến những người ở xa bạn nhất."
"What is the background to this relationship?","Nền tảng của mối quan hệ này là gì?"
"What feelings do you have about the situation/relationship?","Bạn cảm thấy thế nào về tình huống/mối quan hệ này?"
"What is the impact on you and on others?","Bạn và những người khác chịu những tác động gì?"
"What have you tried so far?","Bạn đã cố gắng đến đâu?"
"What would success look like?","Thành công có biểu hiện gì?"
"PRE-WORK - RELATIONSHIP MAPPING","CHUẨN BỊ - LẬP SƠ ĐỒ MỐI QUAN HỆ"
"Take a look at some of your notes and begin to consider who you might want to have a crucial conversation with.","Hãy xem một số ghi chú của bạn và bắt đầu cân nhắc xem bạn có thể muốn có cuộc trò chuyện quan trọng với những người nào."
"IT’S MY STORY","ĐÓ LÀ CÂU CHUYỆN CỦA TÔI"
"Please bring along an item from home that means something to you/makes you happy/ makes you smile. You should be willing to share your story behind your choice. <br> Your personal item should not be a mobile phone or any other high value item, you will be required to leave it on display for both days as this will be integral to the workshop.","Vui lòng mang theo một vật dụng từ nhà có ý nghĩa với bạn/khiến bạn hạnh phúc/khiến bạn mỉm cười. Bạn nên sẵn lòng chia sẻ câu chuyện khiến bạn đưa ra lựa chọn của mình. <br> Vật dụng cá nhân của bạn không phải điện thoại di động hay bất kỳ vật dụng đắt tiền nào khác vì bạn sẽ được yêu cầu để lại vật dụng đó để trưng bày trong hai ngày diễn ra khóa học và điều này cần thiết với hội thảo."
"INTERESTING FACT","DỮ KIỆN THÚ VỊ"
"Please think about something that you have done or achieved that others wouldn’t know about you.","Hãy nghĩ đến việc bạn đã làm hoặc thành tích bạn đạt được mà người khác không biết về bạn."
"Please do not disclose this fact until you are instructed to do so by your facilitator on the Relationship Essentials workshop.","Vui lòng không tiết lộ dữ kiện này cho đến khi có yêu cầu từ người hướng dẫn tại hội thảo Các Kỹ năng Cơ bản để Xây dựng Quan hệ."
"Thank you for completing the Pre-work activities.","Cảm ơn bạn đã hoàn thành các bài tập thực hành Chuẩn bị."
"You are now ready to attend ‘Relationship Essentials’ and will have a chance to reflect and build on these insights during the module.","Bây giờ, bạn đã sẵn sàng tham dự hội thảo 'Các Kỹ năng Cơ bản để Xây dựng Quan hệ' và sẽ có cơ hội suy ngẫm cũng như suy luận dựa trên những điều thấu hiểu trong quá trình diễn ra học phần này."
" ","CHUẨN BỊ"
"CIM SUPERVISORY EXCELLENCE","KHÓA HỌC CIM DÀNH CHO GIÁM SÁT VIÊN XUẤT SẮC"
"CIM SUPERVISORY EXCELLENCE","KHÓA HỌC CIM DÀNH CHO GIÁM SÁT VIÊN XUẤT SẮC"
"RELATIONSHIP ESSENTIALS","CÁC KỸ NĂNG CƠ BẢN ĐỂ XÂY DỰNG QUAN HỆ"
"Learning Journal","Hành trình Học tập"
"My e-Journal","e-Journal của tôi"
"First name:","Tên:"
"Last name:","Họ:"
"Relationship Essentials","Các Kỹ năng Cơ bản để Xây dựng Quan hệ"
"PRE-WORK","CHUẨN BỊ"
"LEARNING JOURNAL","HÀNH TRÌNH HỌC TẬP"
"ASSESSMENT PROCESS","QUY TRÌNH ĐÁNH GIÁ"
"Unlock Learning Journal and Assessment Process","Mở khóa Hành trình Học tập và Quy trình Đánh giá"
"Scan QR Code to unlock Learning Journal and Assessment Process","Quét Mã QR để mở khóa Hành trình Học tập và Quy trình Đánh giá"
"Scan QR Code","Quét Mã QR"
"Welcome to Relationship Essentials","Chào mừng Bạn đến với Khóa học Các Kỹ năng Cơ bản để Xây dựng Quan hệ"
"CIM SUPERVISORY EXCELLENCE CURRICULUM","CHƯƠNG TRÌNH ĐÀO TẠO CIM DÀNH CHO GIÁM SÁT VIÊN XUẤT SẮC"
"Learning Outcomes","Kết quả Đào tạo"
"Understand what Relationship Essentials means in a DHL context and why forging effective relationships with colleagues and Customers is critical in our journey from Good to GREAT","Hiểu được ý nghĩa của Các Kỹ năng Cơ bản để Xây dựng Quan hệ trong môi trường làm việc DHL và lý do tại sao xây dựng các mối quan hệ hiệu quả với đồng nghiệp và Khách hàng lại đóng vai trò quan trọng trong hành trình thay đổi từ Tốt đến TUYỆT VỜI của chúng ta"
"Have the skills and knowledge to build and develop GREAT working relationships","Có kỹ năng và kiến thức để xây dựng và phát triển các mối quan hệ công việc TUYỆT VỜI"
"Be able to manage difficult and challenging situations to ensure both parties achieve a win/win outcome and demonstrate our Respect Focused behaviors","Có khả năng điều khiển các tình huống khó khăn và thách thức để đảm bảo cả hai bên đều đạt được kết quả có lợi và thể hiện các hành vi ứng xử Tập trung vào Sự Tôn trọng"
"Build confidence in handling sensitive issues when back at work and have a step by step approach to managing challenging relationships maximizing win/win outcomes for both parties and creating a Having a Best Day Every Day","Xây dựng sự tự tin trong việc xử lý các vấn đề nhạy cảm khi trở lại làm việc và có cách tiếp cận từng bước để quản lý các mối quan hệ thách thức, phát huy tối đa kết quả hai bên cùng có lợi và giúp mọi người có Mỗi ngày Đều là Ngày Làm việc Tốt nhất"
"Learning Journey","Hành trình Học tập"
"Welcome to Relationship Essentials","Chào mừng Bạn đến với Khóa học Các Kỹ năng Cơ bản để Xây dựng Quan hệ"
"Perceptions","Nhận thức"
"Knowing Me, Knowing You, Knowing How","Biết Mình, Biết Người, Biết Cách"
"I've Got <br> The Power","Tôi Có <br> Sức mạnh"
"Harmonious <br> Relationships","Quan hệ <br> Hòa thuận"
"Our Learning Journey Day 2","Hành trình Học tập của chúng ta Ngày 2"
"Ingredients <br> of a Great <br> Relationship","Các Yếu tố Tạo nên Mối quan hệ <br> Tốt đẹp<br> "
"Crucial <br> Conversations","Các cuộc Trò chuyện <br> Quan trọng"
"Mastering Challenging Situations","Làm chủ Tình huống Khó khăn"
"Getting Real <br> with <br> Relationships","Vận dụng <br> vào<br>  Các mối quan hệ Thực tế"
"It's a Wrap","Tổng kết"
"OUR LEARNING CONTRACT","HỢP ĐỒNG ĐÀO TẠO CỦA CHÚNG TA"
"Participate in workshop activities enthusiastically","Hăng hái tham gia vào các bài tập thực hành của hội thảo"
"Listen actively and ask questions","Tích cực lắng nghe và đặt câu hỏi"
"Stay focused on the topics","Luôn tập trung vào các chủ đề"
"Respect others’ views and opinions","Tôn trọng quan điểm và ý kiến của người khác"
"Support and challenge each other","Ủng hộ và phản biện lẫn nhau"
"Share your experiences freely","Sẵn sàng chia sẻ kinh nghiệm"
"Be open to and offer helpful feedback","Cởi mở và đưa ra những phản hồi bổ ích"
"Keep confidences and assume others will","Bảo mật và tin rằng người khác cũng vậy"
"Try new ideas readily","Sẵn sàng thử ý tưởng mới"
"Be punctual and turn your mobile off","Đúng giờ và tắt điện thoại di động"
"What would made this group work really well together?","Điều gì khiến nhóm này thực sự phối hợp tốt với nhau?"
"Your signature","Chữ ký của bạn"
"Knowing Self: My Role","Biết mình: Vai trò của tôi"
"This activity gives you the opportunity to reflect on your role as a Supervisor, and how the role has led to changes in what you do and how you operate.","Bài tập thực hành này cho bạn cơ hội suy ngẫm về vai trò của mình khi là Giám sát viên và vai trò đã thay đổi ra sao về những việc bạn làm và cách bạn hoạt động."
"Please answer the questions below. Then share your experiences with colleagues.","Vui lòng trả lời các câu hỏi sau đây. Sau đó, chia sẻ kinh nghiệm của bạn với đồng nghiệp."
"Think back to the Launch Module and when you wrote your Personal Brand.  What were the key drivers of your behavior?","Hãy nghĩ lại Khóa học Khởi động và khi bạn tạo ra Thương hiệu Cá nhân.Các động lực chính dẫn đến hành vi ứng xử của bạn là gì?"
"How has your role changed since becoming a Supervisor?","Vai trò của bạn đã thay đổi như thế nào từ khi trở thành một Giám sát viên?"
"What changes have you had to make to how you operate since becoming a Supervisor?","Bạn đã thực hiện những thay đổi gì về cách hoạt động kể từ khi trở thành Giám sát viên?"
"Use the grid below to capture how you demonstrate the DHL Express attributes in your Supervisory role.","Sử dụng hệ trục bên dưới để ghi lại cách minh họa các thuộc tính của DHL Express trong vai trò Giám sát viên của bạn."
"Speed","Tốc độ"
"Can Do","Tư duy Tích cực"
"Right 1st Time","Đúng ngay Từ đầu"
"Passion","Đam mê"
"Knowing why: What relationships mean to me?","Biết lý do: Ý nghĩa của mối quan hệ đối với tôi?"
"What is your definition of the word ‘relationship’?","‘Mối quan hệ’ được định nghĩa như thế nào?"
"Why are we talking about relationships in the context of being a Supervisor?","Tại sao chúng ta lại nói về mối quan hệ trong ngữ cảnh trở thành Giám sát viên?"
"Relationship","Mối quan hệ"
"Knowing why","Biết lý do"
"“People join an organization but leave because of their Manager”","“Nhân viên gia nhập công ty, sau đó rời công ty cũng vì Quản lý của họ”"
"Gallup Research Group","Nhóm Nghiên cứu Gallup"
"Knowing why","Biết lý do"
"Good strong relationships are key to helping you achieve a balanced leadership approach.","Mối quan hệ vững mạnh tốt đẹp là yếu tố chính giúp bạn đạt được phương pháp lãnh đạo cân bằng."
"Managing Self Essentials is all about what you DO.","Kỹ năng Tự Quản lý Cơ bản chính là kỹ năng về những việc bạn LÀM."
"‘Relationship Essentials is all about who you ARE.","‘Các Kỹ năng Cơ bản để Xây dựng Quan hệ chính là về CON NGƯỜI bạn."
"Our Authenticity and our ability to connect with our people will inspire the team to greater performance.","Sự chân thực và khả năng kết nối với mọi người của chúng ta sẽ mang đến cho nhóm nguồn cảm hứng để đạt được hiệu quả làm việc cao hơn."
"The combination of what you DO and who you ARE helps you achieve Personal Excellence.","Sự kết hợp giữa những việc bạn LÀM và bạn là AI giúp bạn trở thành Cá nhân Xuất sắc."
"The Human Element","Yếu tố Con người"
"Please use the space below to capture your thoughts","Vui lòng sử dụng khoảng trống dưới đây để ghi lại suy nghĩ của bạn"
"Relationship Levels","Các cấp độ Mối quan hệ"
"Tap on the onion to learn more","Nhấp vào củ hành để tìm hiểu thêm"
"Level","Cấp độ"
"Level 1 – Introductory","Cấp độ 1 – Giới thiệu"
"Making the first connection","Tạo sự kết nối đầu tiên"
"Level 2 – Getting to know you","Cấp độ 2 – Tìm hiểu"
"Understanding the other person","Hiểu được người khác"
"Level 3 – Connected","Cấp độ 3 – Được kết nối"
"Developing strong, personal connections","Phát triển các kết nối cá nhân vững mạnh"
"Levels of Relationships Activity","Bài tập Thực hành về Cấp độ của Mối quan hệ"
"Please reflect on your work relationships and, using the levels, decide how many people you have at:","Hãy suy ngẫm về mối quan hệ công việc của bạn và sử dụng các cấp độ để quyết định xem bạn có bao nhiêu người tại:"
"Level","Cấp độ"
"What would be the impact to your relationships if you could build connectivity to Level 3?","Nếu bạn có thể tạo ra sự kết nối lên đến Cấp độ 3 thì mối quan hệ của bạn với họ sẽ chịu tác động gì?"
"Knowing Why - Checklist, Learning Journey","Biết Lý do - Danh mục kiểm tra, Hành trình Học tập"
"Do you...","Bạn có..."
"Have a good understanding of the next two days?","Hiểu rõ về hai ngày tới không?"
"Understand what ‘relationships’ mean?","Hiểu ý nghĩa của ‘mối quan hệ’ không?"
"Understand the importance of building relationships","Hiểu tầm quan trọng của việc xây dựng mối quan hệ"
"GREAT relationships in the role of a Supervisor at DHL Express and how this links to the FOCUS Strategy?","Mối quan hệ TỐT ĐẸP trong vai trò Giám sát viên tại DHL Express và việc này liên kết như thế nào đến Chiến lược FOCUS?"
"Welcome to Relationship Essentials","Chào mừng Bạn đến với Khóa học Các Kỹ năng Cơ bản để Xây dựng Quan hệ"
"Perceptions","Nhận thức"
"Knowing Me, Knowing You, Knowing How","Biết Mình, Biết Người, Biết Cách"
"I've Got <br> The Power","Tôi Có <br> Sức mạnh"
"Harmonious <br>Relationships","Quan hệ <br>Hòa thuận"
"PERCEPTIONS","NHẬN THỨC"
"Perceptions","Nhận thức"
"Learning Journey – Perceptions","Hành trình Học tập – Nhận thức"
"Exploring:","Khám phá:"
"How we are perceived by others","Cách người khác nhìn nhận chúng ta"
"How we perceive ourselves","Cách chúng ta nhận thức về chính bản thân mình"
"The impact self-perceptions can have on behavior and relationships","Tác động của việc tự nhận thức đối với hành vi và các mối quan hệ"
"Welcome to Relationship Essentials","Chào mừng Bạn đến với Khóa học Các Kỹ năng Cơ bản để Xây dựng Quan hệ"
"Perceptions","Nhận thức"
"Knowing Me, Knowing You, Knowing How","Biết Mình, Biết Người, Biết Cách"
"I've Got <br> The Power","Tôi Có <br> Sức mạnh"
"Harmonious <br>Relationships","Quan hệ <br>Hòa thuận"
"First Impressions","Ấn tượng Ban đầu"
"This activity is designed to raise your awareness of how you are perceived by others. <br><br>The quiz sheet on the next page asks three questions about yourself and your team members. <br><br> Please enter the names of your team members below","Bài tập thực hành này được thiết kế để giúp bạn hiểu rõ cách người khác nhìn nhận bạn. <br><br>Bảng câu hỏi trên trang tiếp theo đặt ra ba câu hỏi về chính bạn và các thành viên trong đội của bạn. <br><br> Vui lòng nhập tên của các thành viên trong đội vào bên dưới"
"First member:","Thành viên đầu tiên:"
"Second member:","Thành viên thứ hai:"
"Third member:","Thành viên thứ ba:"
"Fourth member:","Thành viên thứ tư:"
"First impressions","Ấn tượng ban đầu"
"Name","Tên"
"If he/she were a househould object, what would they be and WHY?","Nếu anh ấy/cô ấy là một vật dụng gia đình thì vật dụng đó sẽ là gì và TẠI SAO?"
"How do I see myself?","Tôi nhìn nhận thế nào về bản thân mình?"
"How do my fellow team members see me?","Thành viên trong đội nhìn nhận thế nào về tôi?"
"First Impressions - Key Insights","Ấn tượng Ban đầu - Các Chủ điểm Chính"
"1. What did you learn about how others perceive you?","1. Bạn hiểu được điều vì về cách người khác nhìn nhận bạn?"
"2. How closely does how others perceive you match how you see yourself?","2. Vui lòng cho biết mức độ giống nhau giữa cách người khác nhìn nhận bạn và cách bạn nhìn nhận bản thân?"
"3. What impact might this have on your work relationships?","3. Điều này có tác động gì đến mối quan hệ công việc của bạn?"
"First Impressions","Ấn tượng Ban đầu"
"Yes, we have probably all heard the expression “You’ll never get a second chance to make a great first impression”.","Có lẽ tất cả chúng ta đều từng nghe thấy câu nói: ""Bạn không bao giờ có cơ hội lần hai để tạo ấn tượng ban đầu tốt đẹp với người khác""."
"It’s human nature for us to make first impressions.","Bản chất con người của chúng ta là tạo ấn tượng đầu tiên."
"We form an impression of someone, their character, their personality that is nearly indelible within the first 7 seconds.","Chúng ta hình thành ấn tượng gần như không lay chuyển về người nào đó, tính cách và cá tính của họ trong 7 giây đầu tiên."
"A series of experiments revealed that all it takes is a tenth of a second to form an impression of a stranger from their face and even longer exposures do not significantly alter those impressions, but they might boost our confidence in our perceptions!","Một loạt các thí nghiệm cho thấy rằng chỉ cần một phần mười giây để có ấn tượng về một người xa lạ dựa trên khuôn mặt của họ và dù bạn có tiếp xúc lâu hơn với người này cũng không thay đổi gì nhiều những ấn tượng đầu tiên đó, tuy nhiên quá trình tiếp xúc này có thể khiến chúng ta tin tưởng vào nhận thức của mình!"
"First Impressions","Ấn tượng Ban đầu"
"The moment we meet someone our brains make a thousand computations:","Trong khoảnh khắc chúng ta gặp mặt người nào đó, bộ não của chúng ta sẽ thực hiện hàng nghìn phép toán:"
"Are you someone to approach?","Bạn có phải là người dễ gần không?"
"Are you friend or foe?","Là bạn hay là thù?"
"Do you have status or authority?","Bạn có địa vị hoặc quyền lực không?"
"Are you trustworthy competent, likeable, confident?","Bạn có đáng tin cậy, có năng lực, dễ mến, tự tin không?"
"These computations are made at lightning speed, hence us making decisions about one another in the first seven seconds of meeting each other, whether in business interactions or in our personal life.","Các phép toán này được thực hiện với tốc độ chớp nhoáng, do đó chúng ta sẽ đưa ra nhận xét về nhau chỉ trong bảy giây đầu tiên gặp mặt dù là tiếp xúc vì công việc hay trong đời sống cá nhân."
"Whilst we cannot stop people making snap decisions – the human brain is hardwired in this way as a pre-historic survival mechanism (think back to the amygdala and fight or flight in Fit to Lead) – we can however be aware of this and challenge or question our first impressions and perceptions.","Chúng ta không thể khiến mọi người ngừng đưa ra các quyết định chóng vánh bởi bộ não con người có cấu trúc tư duy theo kiểu này là do cơ chế sinh tồn thời tiền sử (hãy nghĩ đến hạch hạnh nhân và cơ chế đánh hay chạy trong phần Phù hợp để trở thành Lãnh đạo của chương trình CIM Phần 1). Tuy nhiên, chúng ta có thể nhận thức được điều này, thách thức hoặc chất vấn những ấn tượng và nhận thức đầu tiên mà chúng ta hình thành."
"Impression","Ấn tượng"
"Film","Phim"
"Judgment","Đánh giá"
"WHAT IS AT THE HEART OF ME - MORAL DILEMMA","GIÁ TRỊ CỐT LÕI CỦA TÔI LÀ GÌ? - TÌNH HUỐNG KHÓ XỬ VỀ ĐẠO ĐỨC"
"Mary has been in your team for the past four years. She has worked for DHL Express for almost 18 years, in fact since she left school. She has been a loyal and committed member of the DHL team.","Mary đã gia nhập đội của bạn trong bốn năm qua. Cô ấy làm việc cho DHL Express trong gần 18 năm, thực tế là ngay từ khi ra trường. Cô ấy là một nhân viên trung thành và tận tụy của đội ngũ DHL."
"Sadly two years ago her husband passed away and she has been raising her family of two children under the age of five single handedly. Naturally, DHL were very supportive of her after her bereavement and allowed a degree of leeway.","Đáng buồn là hai năm trước đây, chồng của Mary qua đời để lại hai đứa con nhỏ chưa đầy năm tuổi cho một mình cô ấy nuôi dưỡng. Theo lẽ tự nhiên, DHL hết sức hỗ trợ Mary sau khi chồng cô ấy qua đời và không khiển trách cô ấy khi trễ nải trong công việc."
"Unfortunately, two years on, her performance is below expectations and you have had many conversations with her highlighting the situation. You have spoken to HR who helped you create a Performance Improvement Plan for her. Whilst there is some improvement in her performance it is significantly off target.","Đáng tiếc là hai năm trôi qua nhưng hiệu suất của Mary vẫn dưới mức kỳ vọng và bạn đã nhiều lần nói chuyện với cô ấy để nhấn mạnh tình hình. Bạn bàn bạc với bộ phận Nhân sự giúp bạn xây dựng Kế hoạch Cải thiện Hiệu suất cho Mary. Mặc dù hiệu suất của cô ấy có một chút cải thiện nhưng vẫn còn cách xa mục tiêu."
"The difficulty is that you have received many complaints from colleagues, who whilst sympathetic to her situation, feel that they are ‘carrying her’ and she is ‘getting an easy ride’. To complicate matters you have just received a complaint from a Customer.","Điều khó khăn là bạn nhận được rất nhiều lời phàn nàn từ đồng nghiệp. Mặc dù những người này thông cảm với hoàn cảnh của Mary nhưng họ cảm thấy mình 'đang gánh vác phần việc của cô ấy', còn cô ấy thì 'ung dung và nhàn hạ'. Vấn đề còn trở nên phức tạp hơn khi bạn vừa mới nhận được lời phàn nàn từ Khách hàng."
"Please discuss how you would handle the situation.","Vui lòng thảo luận cách bạn sẽ xử lý tình huống này."
"WHAT IS AT THE HEART OF ME?","GIÁ TRỊ CỐT LÕI CỦA TÔI LÀ GÌ?"
"WHAT IS AT THE HEART OF ME?","GIÁ TRỊ CỐT LÕI CỦA TÔI LÀ GÌ?"
"Knowing self: My top three Values","Biết mình: Ba Giá trị quan trọng nhất của tôi"
"Our values drive what we say and what we do. Use the space to capture your top three values","Các giá trị của chúng ta thúc đẩy việc chúng ta nói và làm. Hãysử dụng khoảng trống bên dưới để ghi lại ba giá trị quan trọng nhất của bạn"
"Moral dilemma","Tình huống khó xử về đạo đức"
"Reflecting on that last activity, consider how your values were demonstrated in the activity?","Suy ngẫm về bài tập thực hành vừa rồi, kiểm tra xem các giá trị của bạn được thể hiện như thế nào trong bài tập thực hành?"
"How does this link to your Personal Brand?","Điều này có quan hệ như thế nào với Thương hiệu Cá nhân của bạn?"
"How do these values play out at work?","Các giá trị này thể hiện như thế nào tại nơi làm việc?"
"Knowing self: Key Insights","Biết mình: Các chủ điểm chính"
"Having chosen your Top three values, now discuss with your colleagues:","Chọn ba giá trị quan trọng Nhất của bạn rồi thảo luận với đồng nghiệp:"
"The beliefs behind those values","Niềm tin phía sau những giá trị đó"
"The impact of having strongly anchored values","Ảnh hưởng của việc có các giá trị kết nối mạnh mẽ"
"Knowing self: Key Insights","Biết mình: Các chủ điểm chính"
"To develop GREAT relationships, we have discovered from first-hand experience:","Để phát triển mối quan hệ TỐT ĐẸP mà chúng ta đã khám phá từ trải nghiệm đầu tiên:"
"Our behavior is the result of the values and beliefs we hold","Hành vi của chúng ta là kết quả của giá trị và niềm tin mà chúng ta nắm giữ"
"Our values may be the same, but our behavior may be different depending on how tightly those values are anchored","Giá trị của chúng ta có thể giống nhau nhưng hành vi của chúng ta có thể khác nhau tùy theo mức độ kết nối chặt chẽ của các giá trị đó"
"Our values may be different, but it is possible to achieve Level 3 if we are open to other perspectives","Giá trị của chúng ta có thể khác nhau nhưng chúng ta có thể đạt được Cấp độ 3 nếu luôn cởi mở với các quan điểm khác"
"Shared Values & Goals","Giá trị và Mục tiêu Chung"
"To develop GREAT relationships with challenging individuals or situations, it helps to identify your common ground; aspects you can agree on or have mutual interest.","Để phát triển mối quan hệ TỐT ĐẸP với các cá nhân hoặc tình huống khó khăn, tốt nhất là bạn phải xác định được nền tảng chung; các khía cạnh bạn có thể thống nhất hay lợi ích chung."
"Think back to your Pre-work and consider your more challenging relationships.","Hãy nghĩ về hoạt động Chuẩn bị của bạn và xem xét các mối quan hệ khó khăn hơn."
